Component_Name,Category,Price_INR,Efficiency,Reliability,Compatibility,Role
GE Mood Light,Lighting,1322,6.02,5.96,"HomeKit, Alexa",Security lighting
Sensibo Humidifier,HVAC,6583,6.41,6.75,"Wi-Fi, HomeKit",Humidity control
Philips Hue Mood Light,Lighting,4988,8.73,9.14,"HomeKit, Alexa",Automated lighting
Wemo Energy Monitor,Energy Management,1885,6.82,6.19,"Google Home, Alexa, Matter",Demand response
Logitech Garage Door Controller,Security,3788,7.2,5.67,"Wi-Fi, Google Home, Alexa",Access control
Nest Temperature Sensor,HVAC,4931,6.01,7.24,"Z-Wave, Alexa",Air quality management
Sengled Outdoor Light,Lighting,2559,7.26,6.46,"Wi-Fi, Google Home, Alexa",Task lighting
Mitsubishi AC Controller,HVAC,7330,7.48,7.12,"Z-Wave, Alexa",Climate control
Yeelight Floor Lamp,Lighting,4337,8.51,8.02,"Wi-Fi, HomeKit",Circadian rhythm lighting
Reolink Alarm System,Security,10329,8.48,8.18,"Wi-Fi, HomeKit",Safety monitoring
Daikin Heat Pump Controller,HVAC,7082,7.11,7.25,"HomeKit, Google Home, Matter",Air quality management
Blink Window Sensor,Security,4325,7.93,6.41,"Thread, Matter",Door security
Kasa Under Cabinet Light,Lighting,3543,7.5,7.68,"HomeKit, Alexa",Circadian rhythm lighting
Fujitsu Ceiling Fan,HVAC,2022,5.81,5.62,"Thread, Matter",Allergen reduction
Leviton Energy Monitor,Energy Management,8734,10.0,9.67,"HomeKit, Google Home, Matter",Power management
Wyze Facial Recognition Camera,Security,10029,8.51,7.9,"Zigbee, Matter",Emergency detection
Sensibo Humidifier,HVAC,8272,7.91,8.11,"Wi-Fi, Bluetooth",Air quality management
Nest CO Detector,Security,9883,8.48,8.11,"HomeKit, Alexa",Asset protection
Logitech Facial Recognition Camera,Security,16911,10.0,10.0,"Z-Wave, Alexa",Asset protection
Rheem Heater,HVAC,3428,6.29,6.51,"Google Home, Alexa, Matter",Energy-efficient heating
Lutron Energy Monitor,Energy Management,2122,7.02,6.42,"HomeKit, Alexa",Consumption tracking
Wyze Alarm System,Security,17454,10.0,10.0,"Google Home, Alexa, Matter",Perimeter monitoring
Curb Smart Switch,Energy Management,3849,8.31,6.95,"Zigbee, Matter",Renewable integration
Tesla Power Strip,Energy Management,9227,10.0,9.78,"Zigbee, Matter",Renewable integration
Cree Mood Light,Lighting,2578,7.15,7.23,"HomeKit, Google Home, Matter",Energy-efficient lighting
Kwikset Alarm System,Security,11128,9.61,8.14,"Wi-Fi, Bluetooth",Door security
Ring Motion Sensor,Security,11030,8.71,8.62,"Z-Wave, Alexa",Asset protection
Rheem Temperature Sensor,HVAC,7188,7.15,7.22,"Wi-Fi, Google Home, Alexa",Climate control
LIFX Smart Bulb,Lighting,3120,7.34,8.05,"HomeKit, Alexa",Automated lighting
Emporia Battery System,Energy Management,5386,8.93,7.44,"Thread, Matter",Renewable integration
TP-Link LED Strip,Lighting,5974,9.38,9.51,"Wi-Fi, HomeKit",Task lighting
Cree Mood Light,Lighting,3383,8.15,7.66,"HomeKit, Google Home, Matter",Ambiance management
Wyze Motion Sensor,Security,8302,7.73,7.47,"Zigbee, Matter",Asset protection
Eufy Glass Break Detector,Security,2663,6.99,5.36,"Google Home, Alexa, Matter",Emergency detection
Tuya Wall Sconce,Lighting,5893,9.65,9.27,"HomeKit, Google Home, Matter",Energy-efficient lighting
Lennox Ceiling Fan,HVAC,10623,8.16,8.86,"Google Home, Alexa, Matter",Allergen reduction
Honeywell Smart Thermostat,HVAC,8256,7.35,7.96,"Zigbee, Z-Wave",Energy-efficient heating
Yale Smart Safe,Security,4151,7.27,6.29,"Thread, Matter",Door security
Cielo Heater,HVAC,7237,6.92,8.15,"Zigbee, Z-Wave",Allergen reduction
Bosch Heater,HVAC,3283,5.42,6.01,"HomeKit, Alexa",Energy-efficient heating
Ring Window Sensor,Security,2665,7.01,5.96,"Thread, Matter",Access control
Daikin Heat Pump Controller,HVAC,11266,8.86,8.79,"HomeKit, Google Home, Matter",Air quality management
Nest AC Controller,HVAC,13766,9.67,10.0,"Wi-Fi, Google Home, Alexa",Humidity control
Eufy Facial Recognition Camera,Security,5650,7.22,6.67,"Google Home, Alexa, Matter",Intrusion detection
Blink Garage Door Controller,Security,16618,10.0,10.0,"Z-Wave, Alexa",Door security
August CO Detector,Security,5191,7.53,6.83,"Wi-Fi, Google Home, Alexa",Safety monitoring
Kasa Load Controller,Energy Management,5131,8.8,7.56,"Zigbee, Matter",Consumption tracking
Sylvania Floor Lamp,Lighting,3459,7.55,7.69,"Z-Wave, Alexa",Lighting control
TP-Link Color Light,Lighting,5083,9.17,8.74,"HomeKit, Alexa",Energy-efficient lighting
Cree Garden Light,Lighting,5880,9.38,9.35,"HomeKit, Google Home, Matter",Lighting control
Sensibo Air Purifier,HVAC,11435,8.42,8.99,"Wi-Fi, Google Home, Alexa",Zoned climate control
Kwikset Smart Safe,Security,10961,8.53,7.93,"Zigbee, Z-Wave",Perimeter monitoring
Wyze Motion Sensor,Security,5253,7.73,6.31,"Wi-Fi, Bluetooth",Remote surveillance
Feit Electric Track Light,Lighting,1381,6.38,5.72,"Wi-Fi, Bluetooth",Automated lighting
Kasa EV Charger,Energy Management,2919,7.82,6.23,"HomeKit, Alexa",Renewable integration
Bosch Radiant Floor Controller,HVAC,3874,6.2,5.91,"HomeKit, Alexa",Temperature regulation
Yale Perimeter Sensor,Security,6000,7.41,6.65,"Thread, Matter",Perimeter monitoring
Sengled Pathway Light,Lighting,2222,6.98,6.75,"Zigbee, Z-Wave",Automated lighting
SimpliSafe Smart Safe,Security,8842,8.74,7.42,"Zigbee, Matter",Emergency detection
SimpliSafe Window Sensor,Security,5959,7.82,6.33,"Google Home, Alexa, Matter",Emergency detection
LIFX Smart Bulb,Lighting,3161,7.25,7.5,"Zigbee, Matter",Decorative lighting
Wyze Motion Sensor,Security,4352,7.21,6.08,"Wi-Fi, Google Home, Alexa",Remote surveillance
Arlo Glass Break Detector,Security,6479,7.28,6.72,"Wi-Fi, HomeKit",Remote surveillance
Daikin Heat Pump Controller,HVAC,3597,6.47,6.94,"Zigbee, Matter",Air quality management
Lennox Smart Thermostat,HVAC,2572,5.87,5.94,"Zigbee, Z-Wave",Temperature regulation
SolarEdge Power Strip,Energy Management,7000,9.7,8.9,"Wi-Fi, HomeKit",Consumption tracking
Sengled LED Strip,Lighting,2433,7.07,6.51,"Z-Wave, Alexa",Security lighting
Ecobee Air Quality Monitor,HVAC,7277,6.91,8.05,"HomeKit, Alexa",Ventilation management
Wemo Energy Monitor,Energy Management,7365,9.94,8.93,"HomeKit, Alexa",Power management
Leviton EV Charger,Energy Management,1297,6.99,5.89,"Google Home, Alexa, Matter",Renewable integration
Meross Outdoor Light,Lighting,4550,8.24,8.41,"HomeKit, Google Home, Matter",Energy-efficient lighting
Yeelight LED Strip,Lighting,5466,8.88,9.07,"HomeKit, Google Home, Matter",Task lighting
Yeelight Ceiling Light,Lighting,2654,6.39,6.92,"Zigbee, Matter",Ambiance management
Kasa Garden Light,Lighting,3124,7.37,7.0,"Zigbee, Matter",Task lighting
Bosch Temperature Sensor,HVAC,6579,6.52,7.36,"Zigbee, Z-Wave",Air quality management
Kangaroo Motion Sensor,Security,8356,7.75,7.51,"Google Home, Alexa, Matter",Door security
Abode Window Sensor,Security,2781,6.46,5.12,"HomeKit, Alexa",Door security
Honeywell Temperature Sensor,HVAC,3705,6.24,6.66,"Wi-Fi, Google Home, Alexa",Zoned climate control
Yale Perimeter Sensor,Security,4113,6.93,5.8,"Wi-Fi, Google Home, Alexa",Door security
Span EV Charger,Energy Management,3191,7.59,6.07,"Zigbee, Matter",Load balancing
LIFX Color Light,Lighting,3074,7.65,7.02,"HomeKit, Alexa",Energy-efficient lighting
Tado Air Purifier,HVAC,8744,7.54,8.14,"Wi-Fi, Google Home, Alexa",Humidity control
Sengled Outdoor Light,Lighting,5202,8.75,8.73,"HomeKit, Google Home, Matter",Decorative lighting
Leviton Energy Monitor,Energy Management,1207,7.37,5.3,"Thread, Matter",Peak shaving
Emporia Power Strip,Energy Management,3411,7.61,6.3,"Z-Wave, Alexa",Demand response
Rheem AC Controller,HVAC,8000,7.91,7.84,"Wi-Fi, HomeKit",Temperature regulation
Fujitsu Ventilation Controller,HVAC,8223,6.57,8.31,"Zigbee, Matter",Climate control
Wyze Recessed Light,Lighting,4325,8.12,8.52,"Z-Wave, Alexa",Ambiance management
Feit Electric Wall Sconce,Lighting,3724,7.86,7.89,"Google Home, Alexa, Matter",Decorative lighting
Cielo Humidifier,HVAC,6135,7.96,7.21,"HomeKit, Alexa",Temperature regulation
Kwikset CO Detector,Security,7110,7.41,7.1,"Zigbee, Z-Wave",Door security
Eve Grid Tie Inverter,Energy Management,3507,7.69,7.03,"Wi-Fi, HomeKit",Energy monitoring
TP-Link Battery System,Energy Management,7048,9.73,8.49,"Wi-Fi, HomeKit",Peak shaving
Reolink Security Camera,Security,7354,7.49,7.41,"Thread, Matter",Perimeter monitoring
Kangaroo Security Camera,Security,4673,7.03,6.49,"Google Home, Alexa, Matter",Emergency detection
SimpliSafe Smart Safe,Security,10938,9.02,7.97,"Zigbee, Matter",Safety monitoring
Span EV Charger,Energy Management,7474,10.0,8.78,"Wi-Fi, HomeKit",Peak shaving
Honeywell Air Purifier,HVAC,9833,8.32,8.53,"Z-Wave, Alexa",Energy-efficient heating
Ring Perimeter Sensor,Security,10069,8.12,8.12,"Wi-Fi, Google Home, Alexa",Intrusion detection
Wemo Smart Switch,Energy Management,4757,9.32,7.43,"HomeKit, Google Home, Matter",Energy optimization
Abode Window Sensor,Security,7514,8.01,7.32,"Wi-Fi, Google Home, Alexa",Emergency detection
Sensibo HVAC Zoning System,HVAC,5504,6.69,6.23,"Google Home, Alexa, Matter",Temperature regulation
Eufy Smoke Detector,Security,3154,6.71,6.02,"Z-Wave, Alexa",Remote surveillance
Abode Motion Sensor,Security,6079,7.84,6.81,"Google Home, Alexa, Matter",Perimeter monitoring
Schlage Motion Sensor,Security,2189,6.17,5.89,"Wi-Fi, Bluetooth",Safety monitoring
Fujitsu AC Controller,HVAC,13785,9.36,9.61,"Wi-Fi, HomeKit",Temperature regulation
TP-Link Consumption Monitor,Energy Management,6633,8.98,8.89,"Thread, Matter",Energy optimization
Ecobee Humidifier,HVAC,12755,9.66,10.0,"Wi-Fi, HomeKit",Humidity control
Abode Garage Door Controller,Security,5424,7.13,6.64,"Wi-Fi, Google Home, Alexa",Asset protection
Leviton Smart Meter,Energy Management,5584,9.12,7.51,"Zigbee, Matter",Load balancing
Bosch Humidifier,HVAC,3089,5.51,6.09,"HomeKit, Google Home, Matter",Climate control
Enphase Energy Display,Energy Management,6979,9.83,8.32,"HomeKit, Google Home, Matter",Renewable integration
Cree LED Strip,Lighting,1654,6.49,5.98,"Wi-Fi, Bluetooth",Circadian rhythm lighting
Kasa Solar Controller,Energy Management,2241,6.69,6.07,"HomeKit, Alexa",Load balancing
Bosch Smart Thermostat,HVAC,9358,8.66,8.29,"Zigbee, Matter",Zoned climate control
Cielo HVAC Zoning System,HVAC,9115,8.13,8.49,"HomeKit, Google Home, Matter",Energy-efficient heating
Nest Glass Break Detector,Security,6939,8.09,7.52,"Wi-Fi, HomeKit",Safety monitoring
Cielo HVAC Zoning System,HVAC,9362,7.69,8.49,"Google Home, Alexa, Matter",Zoned climate control
Tesla Energy Display,Energy Management,9214,10.0,9.94,"HomeKit, Google Home, Matter",Renewable integration
Eufy Perimeter Sensor,Security,6596,6.78,7.06,"Wi-Fi, Bluetooth",Emergency detection
ADT Window Sensor,Security,7661,7.91,7.58,"Wi-Fi, HomeKit",Asset protection
ADT Security Camera,Security,13846,9.59,9.26,"Wi-Fi, HomeKit",Remote surveillance
SimpliSafe Facial Recognition Camera,Security,5717,7.62,6.79,"Wi-Fi, Google Home, Alexa",Remote surveillance
Bosch HVAC Zoning System,HVAC,13523,9.16,10.0,"Google Home, Alexa, Matter",Energy-efficient heating
Sense Energy Monitor,Energy Management,6694,10.0,8.48,"HomeKit, Alexa",Load balancing
Sense Smart Meter,Energy Management,8355,10.0,8.98,"Wi-Fi, HomeKit",Peak shaving
Meross LED Strip,Lighting,3523,7.74,7.49,"Wi-Fi, Bluetooth",Security lighting
LIFX Under Cabinet Light,Lighting,3167,6.91,7.48,"Zigbee, Matter",Lighting control
Eufy Perimeter Sensor,Security,7773,7.33,7.42,"Zigbee, Matter",Intrusion detection
Dyson Temperature Sensor,HVAC,4883,6.89,7.67,"Zigbee, Matter",Ventilation management
TP-Link EV Charger,Energy Management,5208,9.29,7.59,"Z-Wave, Alexa",Energy monitoring
Mitsubishi Smart Thermostat,HVAC,4479,6.4,6.35,"HomeKit, Google Home, Matter",Humidity control
Sylvania Pathway Light,Lighting,5389,9.12,9.38,"Zigbee, Matter",Automated lighting
Arlo Motion Sensor,Security,3348,6.41,5.56,"Z-Wave, Alexa",Asset protection
Nest Doorbell Camera,Security,14961,10.0,10.0,"Google Home, Alexa, Matter",Access control
Mitsubishi Ventilation Controller,HVAC,12168,8.61,9.53,"Wi-Fi, HomeKit",Ventilation management
Span Battery System,Energy Management,8548,10.0,9.19,"Wi-Fi, Bluetooth",Peak shaving
Kasa Color Light,Lighting,5074,8.91,8.31,"HomeKit, Google Home, Matter",Lighting control
Emerson Air Purifier,HVAC,2771,5.67,5.09,"Z-Wave, Alexa",Temperature regulation
LIFX Pendant Light,Lighting,3701,7.59,7.45,"Wi-Fi, Google Home, Alexa",Decorative lighting
Nest Flood Sensor,Security,5415,7.33,7.44,"Wi-Fi, Bluetooth",Door security
Wyze Pathway Light,Lighting,1910,7.11,6.29,"Zigbee, Matter",Decorative lighting
Meross Wall Sconce,Lighting,4593,8.38,7.76,"HomeKit, Google Home, Matter",Energy-efficient lighting
Lennox Smart Thermostat,HVAC,10921,8.54,9.16,"Zigbee, Matter",Ventilation management
Dyson AC Controller,HVAC,13441,8.94,9.8,"HomeKit, Google Home, Matter",Ventilation management
Lennox Temperature Sensor,HVAC,6562,7.28,6.95,"Wi-Fi, HomeKit",Climate control
Schlage CO Detector,Security,8892,9.28,7.33,"Wi-Fi, Google Home, Alexa",Access control
Juicebox Battery System,Energy Management,6596,9.3,8.04,"HomeKit, Alexa",Renewable integration
Cielo Ceiling Fan,HVAC,2340,5.04,5.54,"Google Home, Alexa, Matter",Zoned climate control
Wyze LED Strip,Lighting,3229,7.97,7.19,"HomeKit, Alexa",Task lighting
Sengled Track Light,Lighting,5712,8.95,9.36,"Wi-Fi, Google Home, Alexa",Ambiance management
Lennox Air Quality Monitor,HVAC,4866,6.58,6.94,"Zigbee, Matter",Energy-efficient heating
LIFX Ceiling Light,Lighting,5292,8.91,8.99,"HomeKit, Alexa",Circadian rhythm lighting
Sensibo Dehumidifier,HVAC,7002,7.09,7.3,"Wi-Fi, Google Home, Alexa",Climate control
Sense Smart Plug,Energy Management,5296,9.43,7.39,"Zigbee, Z-Wave",Consumption tracking
Leviton Energy Gateway,Energy Management,5879,9.21,8.05,"Zigbee, Z-Wave",Power management
Kwikset Doorbell Camera,Security,15281,9.6,9.9,"Wi-Fi, Google Home, Alexa",Asset protection
Reolink Glass Break Detector,Security,8745,8.31,7.31,"Wi-Fi, Bluetooth",Asset protection
Dyson Temperature Sensor,HVAC,7302,7.79,8.3,"Wi-Fi, Google Home, Alexa",Temperature regulation
Meross Color Light,Lighting,1219,5.93,5.73,"HomeKit, Alexa",Task lighting
Ring Alarm System,Security,17232,10.0,10.0,"Google Home, Alexa, Matter",Intrusion detection
Wemo Smart Meter,Energy Management,1531,7.06,5.47,"Google Home, Alexa, Matter",Power management
Yale Garage Door Controller,Security,15948,10.0,9.48,"Google Home, Alexa, Matter",Emergency detection
Sensibo Humidifier,HVAC,2201,6.04,5.06,"Wi-Fi, Bluetooth",Ventilation management
Kwikset Alarm System,Security,17327,10.0,10.0,"Wi-Fi, HomeKit",Intrusion detection
Nest Humidifier,HVAC,11726,8.78,9.8,"HomeKit, Google Home, Matter",Temperature regulation
Span Energy Display,Energy Management,3701,8.15,6.56,"HomeKit, Google Home, Matter",Consumption tracking
Logitech Window Sensor,Security,8439,8.39,7.68,"HomeKit, Google Home, Matter",Access control
Kwikset Smart Safe,Security,4966,6.86,6.26,"Wi-Fi, Google Home, Alexa",Asset protection
Tuya Desk Lamp,Lighting,2798,6.56,7.26,"Wi-Fi, Google Home, Alexa",Ambiance management
Reolink Doorbell Camera,Security,11196,9.35,8.18,"HomeKit, Alexa",Door security
Ring Flood Sensor,Security,10775,8.34,8.92,"Thread, Matter",Perimeter monitoring
Emerson Ventilation Controller,HVAC,7020,7.36,7.82,"Thread, Matter",Allergen reduction
Yale Smart Lock,Security,14127,9.97,9.37,"HomeKit, Alexa",Remote surveillance
Cielo Humidifier,HVAC,5243,6.58,7.04,"Wi-Fi, HomeKit",Zoned climate control
Sylvania Garden Light,Lighting,1159,6.13,5.75,"Zigbee, Z-Wave",Lighting control
Kasa Power Optimizer,Energy Management,6699,9.07,8.76,"Z-Wave, Alexa",Peak shaving
Meross Ceiling Light,Lighting,3780,7.84,7.83,"Wi-Fi, Google Home, Alexa",Energy-efficient lighting
Sensibo Dehumidifier,HVAC,6928,6.84,7.34,"Wi-Fi, Bluetooth",Energy-efficient heating
Kasa Color Light,Lighting,4073,8.73,8.44,"Zigbee, Matter",Automated lighting
Mitsubishi Radiant Floor Controller,HVAC,8546,8.3,7.97,"Wi-Fi, HomeKit",Climate control
Wyze Under Cabinet Light,Lighting,5712,9.8,9.31,"Google Home, Alexa, Matter",Task lighting
Dyson Ventilation Controller,HVAC,13931,9.67,10.0,"Z-Wave, Alexa",Allergen reduction
Cielo Dehumidifier,HVAC,7744,7.49,7.45,"Wi-Fi, Bluetooth",Air quality management
Nanoleaf Mood Light,Lighting,2199,6.95,6.7,"Zigbee, Z-Wave",Ambiance management
Bosch Heater,HVAC,6652,6.95,7.33,"Thread, Matter",Ventilation management
Eve Power Optimizer,Energy Management,7333,9.69,8.87,"HomeKit, Alexa",Renewable integration
Kangaroo Security Camera,Security,15576,9.44,9.58,"HomeKit, Google Home, Matter",Intrusion detection
Lennox Radiant Floor Controller,HVAC,9628,8.0,8.87,"Z-Wave, Alexa",Zoned climate control
Schneider Consumption Monitor,Energy Management,1323,7.33,5.46,"Google Home, Alexa, Matter",Load balancing
LG HVAC Zoning System,HVAC,3785,5.51,5.77,"Thread, Matter",Air quality management
Mitsubishi Air Purifier,HVAC,9151,9.06,7.82,"Wi-Fi, Bluetooth",Climate control
Fujitsu Humidifier,HVAC,10556,8.75,9.07,"Wi-Fi, HomeKit",Energy-efficient heating
Arlo Smart Lock,Security,3446,7.19,5.66,"Zigbee, Z-Wave",Door security
TP-Link Smart Bulb,Lighting,3980,7.64,7.69,"Wi-Fi, HomeKit",Circadian rhythm lighting
Govee Wall Sconce,Lighting,1099,6.27,6.11,"Wi-Fi, Google Home, Alexa",Energy-efficient lighting
Emerson AC Controller,HVAC,6456,6.63,7.35,"Zigbee, Z-Wave",Temperature regulation
Yale CO Detector,Security,8626,8.35,7.35,"Google Home, Alexa, Matter",Asset protection
Lennox Heat Pump Controller,HVAC,9652,8.62,9.15,"Wi-Fi, Google Home, Alexa",Temperature regulation
Logitech Perimeter Sensor,Security,8905,8.98,7.46,"HomeKit, Google Home, Matter",Door security
Kangaroo CO Detector,Security,4567,7.07,5.99,"Thread, Matter",Safety monitoring
LG HVAC Zoning System,HVAC,13403,10.0,10.0,"Wi-Fi, Bluetooth",Humidity control
Curb Solar Controller,Energy Management,3508,7.82,6.67,"Thread, Matter",Consumption tracking
Wyze Ceiling Light,Lighting,4629,8.43,8.53,"HomeKit, Google Home, Matter",Decorative lighting
August Security Camera,Security,15718,10.0,10.0,"HomeKit, Google Home, Matter",Intrusion detection
August Garage Door Controller,Security,19284,10.0,10.0,"HomeKit, Alexa",Door security
Yeelight Color Light,Lighting,5759,8.57,9.29,"Wi-Fi, Bluetooth",Task lighting
Mitsubishi Temperature Sensor,HVAC,6947,6.87,7.28,"Thread, Matter",Humidity control
Tado Heat Pump Controller,HVAC,5454,6.81,6.16,"Z-Wave, Alexa",Ventilation management
Yale Alarm System,Security,6558,8.18,6.55,"Wi-Fi, Bluetooth",Safety monitoring
Schlage Security Camera,Security,9818,8.53,7.93,"Thread, Matter",Remote surveillance
TP-Link Consumption Monitor,Energy Management,3170,8.49,7.02,"Wi-Fi, Bluetooth",Power management
Yale Smart Safe,Security,11594,9.51,8.35,"Zigbee, Matter",Door security
Arlo Perimeter Sensor,Security,5935,7.15,6.28,"Google Home, Alexa, Matter",Asset protection
LG Smart Thermostat,HVAC,7442,7.64,6.79,"Zigbee, Matter",Allergen reduction
Schlage Smart Safe,Security,10161,8.93,7.69,"Z-Wave, Alexa",Emergency detection
TP-Link Energy Monitor,Energy Management,2337,8.29,6.01,"Google Home, Alexa, Matter",Power management
Fujitsu Ceiling Fan,HVAC,6778,7.2,7.74,"Google Home, Alexa, Matter",Climate control
Juicebox Grid Tie Inverter,Energy Management,3567,7.67,6.3,"Wi-Fi, HomeKit",Power management
Cree Desk Lamp,Lighting,4552,8.17,8.18,"HomeKit, Google Home, Matter",Lighting control
Govee Garden Light,Lighting,4952,8.75,8.59,"Google Home, Alexa, Matter",Ambiance management
Wyze Security Camera,Security,13514,9.33,9.15,"Google Home, Alexa, Matter",Asset protection
Ring Alarm System,Security,16925,10.0,10.0,"Google Home, Alexa, Matter",Asset protection
Honeywell Humidifier,HVAC,5175,7.23,6.56,"Wi-Fi, HomeKit",Temperature regulation
Wyze Color Light,Lighting,1213,7.12,6.05,"Wi-Fi, HomeKit",Circadian rhythm lighting
ADT Doorbell Camera,Security,15986,10.0,10.0,"HomeKit, Alexa",Remote surveillance
Span Smart Plug,Energy Management,6847,9.25,8.5,"Google Home, Alexa, Matter",Consumption tracking
Yeelight Outdoor Light,Lighting,5057,9.13,9.06,"HomeKit, Google Home, Matter",Energy-efficient lighting
Enphase Power Optimizer,Energy Management,8555,10.0,9.05,"Google Home, Alexa, Matter",Energy monitoring
Nest Temperature Sensor,HVAC,4564,6.57,6.92,"Zigbee, Z-Wave",Temperature regulation
Lennox Temperature Sensor,HVAC,4551,6.08,6.38,"Wi-Fi, HomeKit",Humidity control
Schneider Battery System,Energy Management,7486,9.71,8.91,"Wi-Fi, Google Home, Alexa",Demand response
Tesla Energy Monitor,Energy Management,3189,7.96,7.38,"Wi-Fi, Google Home, Alexa",Consumption tracking
LIFX Ceiling Light,Lighting,1236,6.89,5.69,"Wi-Fi, Bluetooth",Task lighting
Sengled Under Cabinet Light,Lighting,3184,7.88,7.46,"HomeKit, Google Home, Matter",Circadian rhythm lighting
Mitsubishi Air Quality Monitor,HVAC,9241,8.75,8.77,"HomeKit, Google Home, Matter",Zoned climate control
Lennox Temperature Sensor,HVAC,3187,6.09,6.64,"Thread, Matter",Climate control
Logitech Smoke Detector,Security,8555,7.89,7.13,"Wi-Fi, Bluetooth",Access control
Feit Electric Recessed Light,Lighting,5941,9.06,9.5,"Wi-Fi, Google Home, Alexa",Security lighting
Sylvania Pendant Light,Lighting,1835,5.96,6.29,"Wi-Fi, HomeKit",Automated lighting
LG AC Controller,HVAC,7945,7.8,8.12,"Wi-Fi, Bluetooth",Air quality management
Kangaroo Smoke Detector,Security,7835,7.65,7.14,"Zigbee, Z-Wave",Remote surveillance
Arlo Flood Sensor,Security,3264,6.46,5.75,"Wi-Fi, Bluetooth",Intrusion detection
Nanoleaf Wall Sconce,Lighting,3967,8.49,8.0,"Google Home, Alexa, Matter",Automated lighting
Emporia Power Strip,Energy Management,6407,9.67,7.91,"Wi-Fi, Google Home, Alexa",Energy monitoring
Bosch Humidifier,HVAC,7276,7.42,7.29,"Thread, Matter",Humidity control
Cielo Ventilation Controller,HVAC,8793,8.29,8.02,"Zigbee, Z-Wave",Air quality management
ADT Perimeter Sensor,Security,2818,6.93,5.56,"Zigbee, Matter",Intrusion detection
LG Dehumidifier,HVAC,8091,7.33,8.04,"Wi-Fi, Bluetooth",Temperature regulation
Tesla Power Optimizer,Energy Management,1986,6.38,6.36,"HomeKit, Alexa",Consumption tracking
Sense Consumption Monitor,Energy Management,3210,8.09,6.8,"Thread, Matter",Energy optimization
Meross Garden Light,Lighting,4918,8.99,8.56,"HomeKit, Google Home, Matter",Automated lighting
Schlage Smart Lock,Security,11620,8.79,8.3,"HomeKit, Alexa",Emergency detection
Wemo Smart Plug,Energy Management,4723,8.16,7.62,"HomeKit, Alexa",Peak shaving
Leviton Consumption Monitor,Energy Management,5828,9.97,7.75,"Z-Wave, Alexa",Renewable integration
Bosch Dehumidifier,HVAC,3316,5.9,5.89,"Z-Wave, Alexa",Zoned climate control
Leviton Power Strip,Energy Management,6623,9.83,8.19,"Thread, Matter",Demand response
Blink Glass Break Detector,Security,3378,6.17,5.72,"Zigbee, Matter",Emergency detection
Ring CO Detector,Security,9614,8.38,8.37,"Google Home, Alexa, Matter",Intrusion detection
Emerson AC Controller,HVAC,13980,9.82,10.0,"HomeKit, Google Home, Matter",Air quality management
Arlo Garage Door Controller,Security,16686,10.0,10.0,"Google Home, Alexa, Matter",Safety monitoring
Reolink Doorbell Camera,Security,16989,10.0,10.0,"Google Home, Alexa, Matter",Remote surveillance
Fujitsu HVAC Zoning System,HVAC,13070,8.75,10.0,"HomeKit, Google Home, Matter",Temperature regulation
GE Recessed Light,Lighting,2551,7.23,6.74,"Wi-Fi, Bluetooth",Energy-efficient lighting
Nanoleaf Recessed Light,Lighting,5717,9.39,9.24,"HomeKit, Google Home, Matter",Lighting control
ChargePoint Load Controller,Energy Management,2034,7.16,5.88,"Wi-Fi, Google Home, Alexa",Energy monitoring
Honeywell AC Controller,HVAC,7213,7.42,8.03,"Zigbee, Matter",Humidity control
Span Energy Display,Energy Management,3300,7.51,6.81,"Google Home, Alexa, Matter",Consumption tracking
Eufy Motion Sensor,Security,5173,7.16,6.06,"HomeKit, Alexa",Access control
Honeywell Air Quality Monitor,HVAC,10088,7.99,9.09,"HomeKit, Alexa",Humidity control
TP-Link Smart Bulb,Lighting,4651,8.56,8.47,"Wi-Fi, HomeKit",Decorative lighting
Cielo Air Purifier,HVAC,10931,8.58,8.93,"Wi-Fi, HomeKit",Temperature regulation
Sensibo Heat Pump Controller,HVAC,6923,6.54,7.37,"Zigbee, Matter",Climate control
Philips Hue Recessed Light,Lighting,3989,8.32,8.46,"Zigbee, Z-Wave",Decorative lighting
Wiz Track Light,Lighting,4666,8.3,8.51,"Wi-Fi, Google Home, Alexa",Automated lighting
Kwikset Perimeter Sensor,Security,4222,6.89,6.11,"Z-Wave, Alexa",Emergency detection
Sensibo Heat Pump Controller,HVAC,7063,6.79,7.14,"HomeKit, Alexa",Ventilation management
SimpliSafe Window Sensor,Security,8198,7.23,7.4,"Z-Wave, Alexa",Access control
Emerson AC Controller,HVAC,6709,7.86,7.93,"Wi-Fi, HomeKit",Temperature regulation
Sensibo Humidifier,HVAC,8516,7.85,8.12,"Zigbee, Z-Wave",Temperature regulation
Logitech Perimeter Sensor,Security,8766,8.46,8.09,"Zigbee, Z-Wave",Asset protection
Govee Under Cabinet Light,Lighting,5120,8.29,9.06,"Wi-Fi, HomeKit",Circadian rhythm lighting
Abode Alarm System,Security,15058,9.38,9.27,"Wi-Fi, Bluetooth",Asset protection
Reolink Perimeter Sensor,Security,2194,6.54,5.45,"Zigbee, Z-Wave",Intrusion detection
Lennox AC Controller,HVAC,8345,8.39,8.01,"Wi-Fi, HomeKit",Zoned climate control
Arlo Motion Sensor,Security,8614,8.55,7.99,"Zigbee, Matter",Safety monitoring
Sensibo Air Purifier,HVAC,7223,7.34,7.66,"Z-Wave, Alexa",Humidity control
